"region_id","year","name","status"
1,2014,"coconut crab",NA
1,2014,"hawksbill turtle",0.2
1,2014,"short-finned pilot whale",0.9
1,2014,"olive ridley sea turtle",0.6
1,2014,"blainville's beaked whale",NA
1,2014,"melon-headed whale",1
1,2014,"spinner dolphin",0.9
1,2014,"rough-toothed dolphin",1
1,2014,"clam",0.9
1,2014,"blacktip reef shark",0.8
1,2014,"spotted eagle ray",0.8
1,2014,"lemon shark",0.4
1,2014,"milk fish",1
1,2014,"peacock grouper",1
1,2014,"honeycomb grouper",1
1,2014,"humpback whale",0.4
1,2014,"knob-horned coral",1
1,2014,"lobe coral",0.8
1,2014,"staghorn coral",0.6
1,2014,"fire coral",1
1,2014,"day octopus",1
1,2014,"threadfin butterfly fish",1
1,2014,"pennant bannerfish",1
1,2014,"racoon butterflyfish",1
1,2014,"lemonpeel angelfish",1
1,2014,"orangespine unicornfish",1
1,2014,"bluespine unicornfish",1
1,2014,"spotted surgeonfish",1
1,2014,"striated surgeonfish",1
1,2014,"sea cucumber",1
1,2014,"bluestreak cleaner wrasse",1
1,2014,"sixbar wrasse",1
1,2014,"slingjaw wrasse",1
1,2014,"bullethead parrotfish",1
1,2014,"common parrotfish",1
1,2014,"spotted pufferfish",1
1,2014,"starry pufferfish",1
1,2014,"yellow-margined snapper",1
1,2014,"reef manta ray",0.6
1,2014,"giant moray",1
1,2014,"peppered moray eel",1
1,2014,"green turtle",1
1,2014,"goldlined emperor",1
1,2014,"barred jack",1
1,2014,"giant jack",1
1,2014,"bristle thighed curley",0.6
1,2014,"wandering tattler",1
1,2014,"pacific golden plover",1
1,2014,"white common tern",1
1,2014,"red-footed booby",1
1,2014,"brown booby",1
1,2014,"pacific reef egret",1
1,2014,"great frigatebird",1
1,2014,"lesser frigatebird",1
1,2014,"leatherback turtle",0.2
1,2014,"yellowstripe goatfish",1
1,2014,"helmet gurnard",1
1,2014,"yellowbanded pipefish",1
1,2014,"blackblotch lizardfish",1
1,2014,"blotch-eye soldier firsh",1
1,2014,"silver squirrelfish",1
1,2014,"giant squirrelfish",1
1,2014,"dot-dashed goatfish",1
1,2014,"moorish idol",1
1,2014,"loggerhead turtle",0.2
1,2015,"coconut crab",NA
1,2015,"hawksbill turtle",0.2
1,2015,"short-finned pilot whale",0.9
1,2015,"olive ridley sea turtle",0.6
1,2015,"blainville's beaked whale",NA
1,2015,"melon-headed whale",1
1,2015,"spinner dolphin",0.9
1,2015,"rough-toothed dolphin",1
1,2015,"clam",0.9
1,2015,"blacktip reef shark",0.8
1,2015,"spotted eagle ray",0.8
1,2015,"lemon shark",0.4
1,2015,"milk fish",1
1,2015,"peacock grouper",1
1,2015,"honeycomb grouper",1
1,2015,"humpback whale",0.4
1,2015,"knob-horned coral",1
1,2015,"lobe coral",0.8
1,2015,"staghorn coral",0.6
1,2015,"fire coral",1
1,2015,"day octopus",1
1,2015,"threadfin butterfly fish",1
1,2015,"pennant bannerfish",1
1,2015,"racoon butterflyfish",1
1,2015,"lemonpeel angelfish",1
1,2015,"orangespine unicornfish",1
1,2015,"bluespine unicornfish",1
1,2015,"spotted surgeonfish",1
1,2015,"striated surgeonfish",1
1,2015,"sea cucumber",1
1,2015,"bluestreak cleaner wrasse",1
1,2015,"sixbar wrasse",1
1,2015,"slingjaw wrasse",1
1,2015,"bullethead parrotfish",1
1,2015,"common parrotfish",1
1,2015,"spotted pufferfish",1
1,2015,"starry pufferfish",1
1,2015,"yellow-margined snapper",1
1,2015,"reef manta ray",0.6
1,2015,"giant moray",1
1,2015,"peppered moray eel",1
1,2015,"green turtle",1
1,2015,"goldlined emperor",1
1,2015,"barred jack",1
1,2015,"giant jack",1
1,2015,"bristle thighed curley",0.6
1,2015,"wandering tattler",1
1,2015,"pacific golden plover",1
1,2015,"white common tern",1
1,2015,"red-footed booby",1
1,2015,"brown booby",1
1,2015,"pacific reef egret",1
1,2015,"great frigatebird",1
1,2015,"lesser frigatebird",1
1,2015,"leatherback turtle",0.2
1,2015,"yellowstripe goatfish",1
1,2015,"helmet gurnard",1
1,2015,"yellowbanded pipefish",1
1,2015,"blackblotch lizardfish",1
1,2015,"blotch-eye soldier firsh",1
1,2015,"silver squirrelfish",1
1,2015,"giant squirrelfish",1
1,2015,"dot-dashed goatfish",1
1,2015,"moorish idol",1
1,2015,"loggerhead turtle",0.2
1,2016,"coconut crab",NA
1,2016,"hawksbill turtle",0.2
1,2016,"short-finned pilot whale",0.9
1,2016,"olive ridley sea turtle",0.6
1,2016,"blainville's beaked whale",NA
1,2016,"melon-headed whale",1
1,2016,"spinner dolphin",0.9
1,2016,"rough-toothed dolphin",1
1,2016,"clam",0.9
1,2016,"blacktip reef shark",0.8
1,2016,"spotted eagle ray",0.8
1,2016,"lemon shark",0.4
1,2016,"milk fish",1
1,2016,"peacock grouper",1
1,2016,"honeycomb grouper",1
1,2016,"humpback whale",0.4
1,2016,"knob-horned coral",1
1,2016,"lobe coral",0.8
1,2016,"staghorn coral",0.6
1,2016,"fire coral",1
1,2016,"day octopus",1
1,2016,"threadfin butterfly fish",1
1,2016,"pennant bannerfish",1
1,2016,"racoon butterflyfish",1
1,2016,"lemonpeel angelfish",1
1,2016,"orangespine unicornfish",1
1,2016,"bluespine unicornfish",1
1,2016,"spotted surgeonfish",1
1,2016,"striated surgeonfish",1
1,2016,"sea cucumber",1
1,2016,"bluestreak cleaner wrasse",1
1,2016,"sixbar wrasse",1
1,2016,"slingjaw wrasse",1
1,2016,"bullethead parrotfish",1
1,2016,"common parrotfish",1
1,2016,"spotted pufferfish",1
1,2016,"starry pufferfish",1
1,2016,"yellow-margined snapper",1
1,2016,"reef manta ray",0.6
1,2016,"giant moray",1
1,2016,"peppered moray eel",1
1,2016,"green turtle",1
1,2016,"goldlined emperor",1
1,2016,"barred jack",1
1,2016,"giant jack",1
1,2016,"bristle thighed curley",0.6
1,2016,"wandering tattler",1
1,2016,"pacific golden plover",1
1,2016,"white common tern",1
1,2016,"red-footed booby",1
1,2016,"brown booby",1
1,2016,"pacific reef egret",1
1,2016,"great frigatebird",1
1,2016,"lesser frigatebird",1
1,2016,"leatherback turtle",0.2
1,2016,"yellowstripe goatfish",1
1,2016,"helmet gurnard",1
1,2016,"yellowbanded pipefish",1
1,2016,"blackblotch lizardfish",1
1,2016,"blotch-eye soldier firsh",1
1,2016,"silver squirrelfish",1
1,2016,"giant squirrelfish",1
1,2016,"dot-dashed goatfish",1
1,2016,"moorish idol",1
1,2016,"loggerhead turtle",0.2
1,2017,"coconut crab",NA
